"id","nombre","descripcion","precio_base","precio_oferta","descuento_porcentaje","oferta_activa","stock","estado","categoria_id","empresa_id","created_at","updated_at"
"1","Portátil - ASUS Zenbook 14 OLED UX3405MA-PZ907W, 14"" 3K, Intel® Core™ Ultra 9 185H, 16 GB RAM, 1 TB SSD, Arc™ Onboard Graphics, Windows 11 Home","Descubre una nueva dimensión con el portátil ASUS Zenbook 14 OLED, un ultraligero que redefine la elegancia y la sofisticación. Este dispositivo de alta gama no solo eleva tu productividad y entretenimiento, sino que también destaca por su diseño de calidad superior, pensado para ofrecer un rendimiento excepcional y una durabilidad insuperable. Este exclusivo portátil es una apuesta segura, resistente y confiable que maximiza cada jornada con su batería de larga duración y potencia de primer nivel gracias al procesador Intel® Core™ Ultra 9 y los gráficos Intel Arc™. Disfruta de una conectividad completa con todos los puertos esenciales y sumérgete en la impactante pantalla táctil ASUS OLED, complementada por un sonido potente y envolvente de alta calidad.","1156.20","1032.23","11","1","100","activo","8","1","2025-05-15 20:04:35","2025-05-15 20:04:35"
"2","Monitor LG UltraGear 27GS50F-B 27"" LED VA FullHD 180Hz FreeSync","Monitor gaming LG UltraGear™ FHD de 27” y 180 Hz con un tiempo de respuesta MBR de 1 ms. Disfruta de una experiencia visual más inmersiva y con colores vibrantes gracias a NTSC 72%. La tecnología AMD FreeSync minimiza la fragmentación de la imagen disfrutando de movimientos más fluidos.","164.46","98.35","40","1","200","activo","8","1","2025-05-15 20:05:49","2025-05-15 20:05:49"
"3","Disco Duro Samsung 990 Pro 1TB Disco SSD 7450MB/S NVMe PCIe 4.0 M.2 Gen4","Descubre el potente rendimiento con PCIe 4.0 y experimenta velocidades de vértigo para vencer al contrincante. La regulación térmica del controlador Samsung ofrece una alta eficiencia energética manteniendo el máximo rendimiento y altas velocidades.","130.64","94.02","28","1","100","activo","8","1","2025-05-15 20:07:06","2025-05-15 20:07:06"
"4","Memoria RAM Kingston FURY Beast DDR4 3200 MHz 16 GB CL16","La memoria para PC FURY Beast DDR4 de Kingston ofrece un potente aumento de rendimiento para juegos, edición de vídeo y renderización con velocidades de hasta 3733 MHz. Esta rentable actualización está disponible en velocidades de 2666 MHz a 3733 MHz, con latencias de CL15 a 19, capacidades de 4 GB a 32 GB en módulos individuales y de 8 GB a 128 GB en kits. Su overclocking automático Plug N Play a velocidades de 2666 MHz está disponible en Intel XMP y Ryzen. El módulo FURY Beast DDR4 se mantiene fresco gracias a su elegante y delgado disipador de calor. Probada al 100% y garantizada de por vida, esta actualización es muy fácil y sin problemas para tu sistema Intel o AMD.","27.26",NULL,NULL,"0","98","activo","8","1","2025-05-15 20:08:05","2025-05-15 20:08:05"
"5","Tarjeta Gráfica MSI GeForce RTX 4060 Ti VENTUS 2X BLACK OC 8GB GDDR6 DLSS3","Las GPU NVIDIA® GeForce RTX® serie 40 son más que rápidas para jugadores y creadores. Cuentan con la tecnología de la arquitectura ultra eficiente NVIDIA Ada Lovelace, que ofrece un salto espectacular tanto en rendimiento como en gráficos con tecnología de IA. Disfruta de mundos virtuales realistas con trazado de rayos y juegos con FPS ultra altos y la latencia más baja. Descubre nuevas y revolucionarias formas de crear contenido y una aceleración de flujo de trabajo sin precedentes.","371.82",NULL,NULL,"0","100","activo","8","1","2025-05-15 20:09:12","2025-05-15 20:09:12"
"6","Procesador AMD Ryzen 7 5700X 3.4GHz Box sin Ventilador","Cuando cuentas con la arquitectura de procesadores de escritorio más avanzada del mundo para jugadores y creadores de contenido, las posibilidades son infinitas. Ya sea que juegues los juegos más recientes, diseñes el próximo rascacielos o proceses datos, necesitas un procesador poderoso que pueda dar respuesta a todas estas demandas, y más. Sin lugar a dudas, los procesadores para computadoras de escritorio AMD Ryzen™ serie 5000 elevan el nivel de expectativa para jugadores y artistas por igual.","291.74","128.92","56","1","300","activo","8","1","2025-05-15 20:10:14","2025-05-15 20:10:14"
"7","Logitech G Pro X 60 Lightspeed Teclado Inalámbrico Gaming Mecánico RGB TKL Negro","Diseñado con los mejores deportistas de esports del mundo, PRO X 60 es el primer teclado 60% de Logitech G. Toma el control de cada tecla en G HUB con KEYCONTROL y 5 capas personalizables para el centro de mando insuperable. Potencia la velocidad y fiabilidad con el rendimiento de la tecnología inalámbrica LIGHTSPEED. Control compacto. Sin compromisos.","119.83",NULL,NULL,"0","200","activo","8","1","2025-05-15 20:11:09","2025-05-15 20:11:09"
"8","Ratón gaming - Razer Deathadder Essential, Por cable, 6.400 ppp, 5 Teclas, USB, Negro","El ratón gaming Razer Deathadder Essential de color negro, tiene la forma ergonómica clásica que ya ha distinguido a todos los representantes anteriores de la serie Razer DeathAdder. La carcasa elegante e inconfundible ofrece una comodidad de uso óptima, para que pueda ofrecer un rendimiento al más alto nivel incluso durante largas maratones de juego.","20.65","16.52","20","1","400","activo","8","1","2025-05-15 20:12:14","2025-05-15 20:12:14"
"9","Logitech C920s Pro Webcam Full HD 1080p/30fps con Corrección de Iluminación Automática","Ofrezca su mejor imagen en videoconferencias y grabe sofisticados vídeos con la cámara Web C920s. Ofrece vídeo Full HD (1080p a 30 fps) y nítido sonido estéreo con todas las aplicaciones de vídeo más populares.","98.35","49.58","50","1","100","activo","8","1","2025-05-15 20:13:22","2025-05-15 20:13:22"
"10","Blue Microphones Yeti Micrófono USB Plata para Grabación y Transmisión en PC","Yeti es un micrófono USB óptimo, con un nítido y potente sonido con calidad de difusión para podcasts, producciones de YouTube, streaming de juegos, Skype y música. La tecnología patentada de tres cápsulas de Yeti posibilita que los patrones de captación cardioide, omnidireccional, bidireccional y estéreo ofrezcan una flexibilidad increíble que permite grabar y hacer streaming de formas que normalmente requerirían varios micrófonos.
Yeti dispone además de controles de estudio para el volumen de los auriculares, la selección de patrones, el silenciamiento instantáneo y la ganancia del micrófono que ponen en tus manos el proceso de grabación y streaming. Móntalo en unos segundos con la base de sobremesa incluida o conéctalo directamente a una base o brazo de micrófono.","115.69","71.07","39","1","100","activo","8","1","2025-05-15 20:14:26","2025-05-15 20:14:26"
"11","Hub USB C, 8 en 1 Hub USB 3.0 con puerto USB C, puertos USB 2.0 y USB 3.0","Hub multifuncional: el concentrador tipo USB-C tiene múltiples diseños de puertos, que pueden conectar y expandir diferentes dispositivos según sus necesidades.","9.08",NULL,NULL,"0","100","activo","8","1","2025-05-15 20:15:27","2025-05-15 20:15:27"
"12","AiTodos® Soporte para Computadora Portatil, Aleación de Aluminio, Antideslizante, Soporte Portátil Plegable, Ventilación y Disipación de Calor, Ajuste de 6 Engranajes.","【Soporte Portatil: Ajuste 6 Velocidades】Se puede usar una altura y ángulo cómodos, diseño ergonómico, fácil de ver y escribir, corrigiendo la postura sentada, reduciendo la tensión del cuello o el dolor de espalda.","9.58",NULL,NULL,"0","100","activo","9","1","2025-05-15 20:16:30","2025-05-15 20:16:30"
"13","MARSGAMING MNBC2, Base Refrigeradora y Stand para Portátiles hasta 17.3”, Iluminación LED Roja, 5X Ventiladores UA5, Regulable 6 Posiciones, Estructura Acero, Rejilla Aluminio, 2X USB 2.0, Negro","BASE REFRIGERADORA Y STAND PORTÁTIL: Mantén tu ordenador portátil refrigerado con la base MNBC2. Juega sin preocupaciones gracias a la potencia de esta base refrigeradora diseñada especialmente para portátiles gaming de gran potencia","15.28",NULL,NULL,"0","100","activo","9","1","2025-05-15 20:17:34","2025-05-15 20:17:34"
"14","Auriculares inalámbricos - Sony WH-1000XM5B, Cancelación ruido (Noise Cancelling), 30h, Hi-Res, Carga Rápida, Con Asistente, Bluetooth, Diadema, Negro","Los WH-1000XM5 redefinen la escucha sin distracciones. Gracias a sus dos procesadores, sus ocho micros y su unidad de diafragma, no es de extrañar que la serie 1000XM5 se haya posicionado como el mejor en su categoría en los premios Xataka, What Hifi y EISA.","288.43",NULL,NULL,"0","100","activo","4","1","2025-05-15 20:19:19","2025-05-15 20:19:19"
"15","TP-Link Tapo P100 Mini Smart Wifi Enchufe Inteligente","El socio inteligente superior para pequeños electrodomésticos. Tapo P100 está construido pequeño para dejar abiertos los enchufes adyacentes, lo que lo hace conveniente para el uso diario.","9.91","8.26","17","1","70","activo","3","1","2025-05-15 20:20:32","2025-05-15 20:20:32"
"16","Tuya Zigbee Gateway Hub - Bridge WiFi Smart Home, centro de control domótico remoto Smart Home para todos los productos Tuya ZigBee, compatible con Alexa Google Assistant y Smart Life App (Gateway)","Controlable a través de la aplicación: el concentrador ZigBee es un dispositivo necesario para todos los dispositivos inteligentes ZigBee, es más estable y seguro que el uso de un sistema Wi-Fi. Con este concentrador, también puede controlar todos sus productos Tuya (incluidos enchufes, sensores PIR, cerraduras, sensores de agua, cortinas eléctricas, etc.) a través de la aplicación Tuya Smart/Smart Life incluso cuando no esté en casa.","20.40",NULL,NULL,"0","80","activo","3","1","2025-05-15 20:21:58","2025-05-15 20:21:58"
"17","Smartwatch - Xiaomi Watch S3, AMOLED, Bluetooth, Hasta 15 días, HyperOS, Negro","El Xiaomi Watch S3 se inspira en los relojes tradicionales y está fabricado con materiales de primera calidad que ofrecen un tacto accesible y exquisito, lo que pone de manifiesto su extraordinario estilo en cada diseño.
Después de la instalación, el bisel puede cambiar automáticamente entre pantallas exclusivas para el reloj y reproducir efectos de sonido dinámicos. Sentirás que estás activando un mecanismo delicado que ofrece una experiencia inigualable.","123.96","82.64","33","1","150","activo","5","1","2025-05-15 20:23:19","2025-05-15 20:23:19"
"18","TV Samsung UE55DU7172U 55"" LED UltraHD 4K HDR10","Televisión Samsung UE55DU7172U con tecnología PurColor permite que su televisor muestre una amplia gama de colores para un rendimiento de imagen óptimo, de modo que siempre verá colores y detalles sorprendentes.","495.04","296.69","40","1","120","activo","3","2","2025-05-15 20:25:22","2025-05-15 20:25:22"
"19","Microondas con grill - LG MH6042DW, 700 W, 2 niveles, Panel táctil, 20 l, Blanco","El microondas 2 en 1 LG MH6042DW en color blanco es un microondas aparentemente sencillo, pero de lo más completo, puesto que tiene doble función: microondas y grill. Su panel táctil te permitirá escoger fácilmente la función que mejor se ajusta a tus necesidades sin necesidad de complicados menús.","98.35",NULL,NULL,"0","75","activo","3","2","2025-05-15 20:26:20","2025-05-15 20:26:20"
